away,cross,home,ones,twos,year
Iceland,3.72,Slovenia,1.66,5.61,2014
Malta,8.22,Bulgaria,1.13,19.29,2014
Portugal,4.18,Israel,7.58,1.48,2014
New Caledonia,7.73,New Zealand,1.11,17.43,2014
Jamaica,7.16,Mexico,1.16,16.57,2014
Costa Rica,3.16,Panama,2.31,3.18,2014
USA,3.2,Honduras,2.96,2.41,2014
Azerbaijan,3.51,Northern Ireland,1.75,5,2014
San Marino,19.17,Montenegro,1.01,58.17,2014
Uzbekistan,3.29,Iran,1.85,4.48,2014
Lebanon,4.05,Qatar,1.45,7.69,2014
Jordan,3.29,Iraq,2.04,3.65,2014
Japan,3.95,Oman,7.55,1.47,2014
England,3.26,Poland,3.95,2.04,2014
Guyana,8.52,Costa Rica,1.09,24.21,2014
El Salvador,7.58,Mexico,1.12,16.93,2014
Argentina,3.85,Chile,5.48,1.62,2014
Antigua and Barbuda,8.33,Jamaica,1.1,20.65,2014
Guatemala,4.06,USA,1.34,13.98,2014
Peru,3.21,Paraguay,2.24,3.33,2014
Ecuador,3.24,Venezuela,2.28,3.22,2014
Uruguay,3.27,Bolivia,2.79,2.54,2014
Panama,4.57,Cuba,10.31,1.34,2014
Canada,3.51,Honduras,1.65,5.71,2014
Northern Ireland,11,Portugal,1.07,35.69,2014
France,4.51,Spain,1.42,7.8,2014
Slovenia,3.2,Albania,3.02,2.44,2014
Scotland,4.82,Belgium,1.36,9.3,2014
Sweden,5.69,Germany,1.28,10.61,2014
Denmark,3.79,Italy,1.59,6.31,2014
Kazakhstan,6.55,Austria,1.2,15.26,2014
Serbia,3.35,FYR Macedonia,3.99,1.97,2014
Turkey,3.3,Hungary,2.9,2.46,2014
Switzerland,3.44,Iceland,4.34,1.88,2014
Moldova,6.78,San Marino,18.93,1.17,2014
Greece,3.16,Slovakia,2.53,2.91,2014
Lithuania,6.83,Bosnia & Herzegovina,1.18,17.13,2014
Wales,5.65,Croatia,1.25,13.14,2014
Norway,3.5,Cyprus,4.28,1.87,2014
Bulgaria,3.57,Czech Republic,1.7,5.37,2014
Ireland,4.83,Faroe Islands,9.06,1.36,2014
Netherlands,3.34,Romania,4.02,1.98,2014
Montenegro,3.63,Ukraine,1.72,5.05,2014
Estonia,4.81,Andorra,10.16,1.34,2014
Liechtenstein,6.24,Latvia,1.22,14.12,2014
South Korea,3.21,Iran,2.85,2.48,2014
Georgia,3.29,Belarus,2.02,3.89,2014
Luxembourg,11.93,Israel,1.06,33.03,2014
Azerbaijan,10.92,Russia,1.09,26.1,2014
Australia,3.42,Iraq,4.42,1.83,2014
Jordan,3.11,Oman,2.42,3.02,2014
Uzbekistan,3.16,Qatar,2.87,2.49,2014
Solomon Islands,6.1,New Caledonia,1.19,10.84,2014
Tahiti,14,New Zealand,1.04,37.5,2014
New Zealand,6.75,Tahiti,12.9,1.18,2014
Honduras,3.18,Panama,2.08,3.74,2014
Jamaica,3.27,Guatemala,2.51,2.78,2014
Costa Rica,3.23,El Salvador,2.99,2.4,2014
Mexico,7.76,Guyana,17.37,1.13,2014
Uruguay,4.47,Argentina,1.42,7.57,2014
Cuba,7.22,Canada,1.14,16.07,2014
USA,7.38,Antigua and Barbuda,17.32,1.13,2014
Chile,3.3,Ecuador,2.06,3.57,2014
Paraguay,4.23,Colombia,1.43,8.12,2014
Peru,3.61,Bolivia,1.78,4.61,2014
San Marino,23.92,England,1.01,91.5,2014
Israel,4.43,Luxembourg,7.46,1.44,2014
Bosnia & Herzegovina,3.25,Greece,2.23,3.33,2014
Germany,4.67,Ireland,8.55,1.38,2014
Cyprus,4.34,Slovenia,1.43,8.15,2014
Scotland,3.22,Wales,2.9,2.5,2014
Hungary,3.31,Estonia,3.54,2.12,2014
Croatia,3.37,FYR Macedonia,4.74,1.83,2014
Andorra,20.58,Netherlands,1.01,79.83,2014
Belgium,3.21,Serbia,2.46,2.97,2014
Norway,3.53,Switzerland,1.73,5.12,2014
Latvia,4.54,Slovakia,1.4,8.34,2014
Spain,8.07,Belarus,16.65,1.15,2014
Denmark,3.19,Bulgaria,3,2.45,2014
Ukraine,4.97,Moldova,10.83,1.32,2014
Lithuania,3.65,Liechtenstein,5.67,1.66,2014
Romania,3.48,Turkey,1.76,5,2014
Iceland,3.36,Albania,1.96,4,2014
Italy,4.3,Armenia,8.48,1.43,2014
Malta,12.89,Czech Republic,1.06,35.78,2014
Sweden,10.3,Faroe Islands,27.54,1.09,2014
Austria,3.7,Kazakhstan,5.07,1.7,2014
Georgia,3.53,Finland,1.78,4.8,2014
Portugal,3.21,Russia,2.81,2.58,2014
New Caledonia,3.53,Solomon Islands,2.33,2.72,2014
New Caledonia,3.76,Tahiti,1.6,5.13,2014
Cuba,8.56,Honduras,1.11,22.52,2014
Argentina,4.04,Peru,5.93,1.58,2014
Canada,3.24,Panama,2.03,3.84,2014
Costa Rica,6.1,Mexico,1.21,13.84,2014
Jamaica,5.08,USA,1.31,9.83,2014
El Salvador,3.53,Guyana,4.09,1.87,2014
Venezuela,3.76,Paraguay,1.59,6.15,2014
Guatemala,3.88,Antigua and Barbuda,5.33,1.63,2014
Ecuador,4.32,Uruguay,1.43,8.12,2014
Colombia,3.36,Chile,2.09,3.57,2014
Azerbaijan,14.75,Portugal,1.03,35.82,2014
Ukraine,3.97,England,1.57,6.25,2014
Belarus,6,France,1.23,13.75,2014
FYR Macedonia,3.47,Scotland,1.78,4.9,2014
Croatia,3.31,Belgium,2.15,3.52,2014
Lithuania,4.73,Greece,1.36,9.7,2014
Malta,16.24,Italy,1.02,46.89,2014
Luxembourg,4.66,Northern Ireland,1.37,9.33,2014
Moldova,6.81,Poland,1.17,19.06,2014
Germany,4.79,Austria,6.66,1.45,2014
Netherlands,4,Hungary,5.43,1.62,2014
Montenegro,15.15,San Marino,34.32,1.03,2014
Wales,4.08,Serbia,1.47,7.87,2014
Kazakhstan,10.61,Sweden,1.07,24.2,2014
Albania,5.01,Switzerland,1.32,10.57,2014
Liechtenstein,12.94,Slovakia,1.05,29.74,2014
Latvia,6.29,Bosnia & Herzegovina,1.22,13.2,2014
Armenia,3.6,Bulgaria,1.75,5.02,2014
Slovenia,3.55,Norway,1.81,4.6,2014
Estonia,6.43,Turkey,1.21,13.95,2014
Spain,8.8,Georgia,22.03,1.12,2014
Andorra,18.15,Romania,1.01,47.36,2014
Iceland,3.24,Cyprus,2.54,2.86,2014
Russia,3.32,Israel,3.9,2.02,2014
Australia,3.68,Jordan,6.48,1.57,2014
Iran,4.5,Lebanon,8.49,1.39,2014
South Korea,3.4,Uzbekistan,3.94,1.94,2014
Iraq,5.92,Japan,1.23,12.58,2014
Solomon Islands,6.15,New Zealand,1.22,12.39,2014
Czech Republic,3.26,Denmark,2.11,3.66,2014
Serbia,3.11,Scotland,2.64,2.84,2014
Mexico,3.64,Costa Rica,4.86,1.71,2014
Antigua and Barbuda,5.63,Guatemala,1.24,12.81,2014
Guyana,6.33,El Salvador,1.19,15.88,2014
Venezuela,3.33,Peru,1.92,4.19,2014
USA,3.35,Jamaica,4.44,1.85,2014
Panama,3.12,Canada,2.29,3.26,2014
Paraguay,5.58,Argentina,1.26,11.54,2014
Bolivia,4.87,Ecuador,1.34,9.91,2014
Uruguay,3.25,Colombia,2.09,3.69,2014
Honduras,4.21,Cuba,7.77,1.44,2014
Faroe Islands,26.07,Germany,1.01,59.43,2014
Norway,3.43,Iceland,3.95,1.96,2014
Portugal,18.03,Luxembourg,38.79,1.02,2014
England,5.22,Moldova,11.45,1.29,2014
Italy,3.41,Bulgaria,5.46,1.73,2014
Belgium,3.65,Wales,4.96,1.73,2014
Cyprus,3.42,Albania,2.02,3.74,2014
Hungary,11.13,Andorra,24.69,1.08,2014
France,3.62,Finland,5.57,1.67,2014
Greece,3.27,Latvia,4.27,1.94,2014
Poland,3.23,Montenegro,2.38,3.05,2014
Turkey,4.43,Netherlands,1.45,7.1,2014
Switzerland,3.26,Slovenia,2.97,2.42,2014
FYR Macedonia,5.37,Croatia,1.28,12.05,2014
Slovakia,3.26,Lithuania,3.56,2.14,2014
Romania,3.26,Estonia,3.66,2.11,2014
Armenia,3.94,Malta,6.02,1.58,2014
Belarus,3.21,Georgia,2.59,2.8,2014
Bosnia & Herzegovina,6.52,Liechtenstein,15.54,1.19,2014
Israel,3.33,Azerbaijan,4.03,1.97,2014
Ireland,3.6,Kazakhstan,5.84,1.65,2014
Northern Ireland,6.72,Russia,1.18,18.26,2014
New Zealand,4.18,New Caledonia,5.96,1.47,2014
Tahiti,3.51,Solomon Islands,2.76,2.37,2014
USA,4.06,Guatemala,7.23,1.46,2014
Mexico,4.88,El Salvador,8.48,1.34,2014
Cuba,6.37,Panama,1.18,16.06,2014
Costa Rica,4.52,Guyana,8.64,1.36,2014
Honduras,3.26,Canada,2.08,3.56,2014
Jamaica,4.62,Antigua and Barbuda,9.15,1.35,2014
Qatar,4.35,Iran,1.38,8.74,2014
Oman,3.26,Iraq,1.92,4.09,2014
Lebanon,10.64,South Korea,1.05,22.69,2014
Japan,3.25,Australia,2.8,2.46,2014
Colombia,3.15,Ecuador,2.44,3.03,2014
Algeria,3.03,Mali,2.82,2.57,2014
Peru,5.42,Uruguay,1.26,12.26,2014
Egypt,3.05,Guinea,2.84,2.45,2014
Angola,2.96,Liberia,2.62,2.8,2014
Cameroon,2.94,Libya,3.9,2.03,2014
Togo,3.86,D.R. Congo,1.53,6.03,2014
Benin,3.21,Rwanda,2.46,2.79,2014
Central Africa,3.23,Ethiopia,1.81,4.69,2014
Sudan,3.92,Lesotho,6.47,1.49,2014
Zimbabwe,3.16,Mozambique,1.91,4.21,2014
Gambia,3.06,Tanzania,2.16,3.45,2014
Chile,3.31,Venezuela,2.63,2.63,2014
Paraguay,3.15,Bolivia,2.97,2.47,2014
Ivory Coast,3.14,Morocco,3.42,2.15,2014
Tunisia,2.98,Cape Verde,2.87,2.6,2014
Sierra Leone,3.27,Equatorial Guinea,1.96,3.9,2014
Kenya,3.15,Namibia,1.99,3.92,2014
Niger,3.39,Congo,1.76,4.48,2014
Burkina Faso,3.55,Gabon,1.65,5.29,2014
Italy,3.41,Bulgaria,5.46,1.73,2014
Belgium,3.65,Wales,4.96,1.73,2014
Cyprus,3.42,Albania,2.02,3.74,2014
Hungary,11.13,Andorra,24.69,1.08,2014
France,3.62,Finland,5.57,1.67,2014
Greece,3.27,Latvia,4.27,1.94,2014
Poland,3.23,Montenegro,2.38,3.05,2014
Turkey,4.43,Netherlands,1.45,7.1,2014
Switzerland,3.26,Slovenia,2.97,2.42,2014
FYR Macedonia,5.37,Croatia,1.28,12.05,2014
Slovakia,3.26,Lithuania,3.56,2.14,2014
Romania,3.26,Estonia,3.66,2.11,2014
Armenia,3.94,Malta,6.02,1.58,2014
Belarus,3.21,Georgia,2.59,2.8,2014
Bosnia & Herzegovina,6.52,Liechtenstein,15.54,1.19,2014
Israel,3.33,Azerbaijan,4.03,1.97,2014
Ireland,3.6,Kazakhstan,5.84,1.65,2014
Northern Ireland,6.72,Russia,1.18,18.26,2014
New Zealand,4.18,New Caledonia,5.96,1.47,2014
Tahiti,3.51,Solomon Islands,2.76,2.37,2014
USA,4.06,Guatemala,7.23,1.46,2014
Mexico,4.88,El Salvador,8.48,1.34,2014
Cuba,6.37,Panama,1.18,16.06,2014
Costa Rica,4.52,Guyana,8.64,1.36,2014
Honduras,3.26,Canada,2.08,3.56,2014
Jamaica,4.62,Antigua and Barbuda,9.15,1.35,2014
Qatar,4.35,Iran,1.38,8.74,2014
Oman,3.26,Iraq,1.92,4.09,2014
Lebanon,10.64,South Korea,1.05,22.69,2014
Japan,3.25,Australia,2.8,2.46,2014
Colombia,3.15,Ecuador,2.44,3.03,2014
Algeria,3.03,Mali,2.82,2.57,2014
Peru,5.42,Uruguay,1.26,12.26,2014
Egypt,3.05,Guinea,2.84,2.45,2014
Angola,2.96,Liberia,2.62,2.8,2014
Cameroon,2.94,Libya,3.9,2.03,2014
Togo,3.86,D.R. Congo,1.53,6.03,2014
Benin,3.21,Rwanda,2.46,2.79,2014
Central Africa,3.23,Ethiopia,1.81,4.69,2014
Sudan,3.92,Lesotho,6.47,1.49,2014
Zimbabwe,3.16,Mozambique,1.91,4.21,2014
Gambia,3.06,Tanzania,2.16,3.45,2014
Chile,3.31,Venezuela,2.63,2.63,2014
Paraguay,3.15,Bolivia,2.97,2.47,2014
Ivory Coast,3.14,Morocco,3.42,2.15,2014
Tunisia,2.98,Cape Verde,2.87,2.6,2014
Sierra Leone,3.27,Equatorial Guinea,1.96,3.9,2014
Kenya,3.15,Namibia,1.99,3.92,2014
Niger,3.39,Congo,1.76,4.48,2014
Burkina Faso,3.55,Gabon,1.65,5.29,2014
Dominica,4.33,Nicaragua,1.35,7.52,2014
Venezuela,3.77,Colombia,1.55,6.8,2014
Ecuador,3.69,Paraguay,1.61,6.06,2014
Trinidad & Tobago,3.1,Guyana,2.7,2.45,2014
Canada,4.72,Saint Kitts and Nevis,7.77,1.31,2014
Puerto Rico,3.69,Saint Lucia,4.96,1.58,2014
Haiti,3.27,Antigua and Barbuda,1.95,3.49,2014
El Salvador,3.5,Suriname,5.57,1.57,2014
Chile,3.7,Uruguay,1.64,5.68,2014
Saint Vincent and the Grenadines,3.47,Belize,1.67,4.5,2014
Bolivia,9.7,Argentina,1.09,29.89,2014
Curacao,5.32,United States Virgin Islands,9.84,1.22,2014
Barbados,4.01,Bermuda,1.4,6.87,2014
Cayman Islands,6.24,Dominican Republic,1.15,12.29,2014
Burundi,3.14,Lesotho,2.55,2.5,2014
Thailand,4.47,Saudi Arabia,1.35,8.93,2014
Togo,3.13,Guinea Bissau,2.21,3,2014
Singapore,6.63,Jordan,1.13,15.66,2014
Indonesia,6.64,Qatar,1.14,14.61,2014
Iran,3.39,Bahrain,4.59,1.78,2014
Tanzania,3.1,Chad,2.54,2.55,2014
Madagascar,3.61,Equatorial Guinea,1.53,5.63,2014
Congo,5.69,Sao Tome and Principe,10.69,1.19,2014
Lebanon,5.49,Kuwait,1.21,11.31,2014
China,3.27,Iraq,2.28,3.02,2014
D.R. Congo,3.24,Swaziland,3.91,1.83,2014
Australia,4.19,Oman,7.73,1.41,2014
Kenya,3.16,Seychelles,3.57,1.94,2014
North Korea,3.5,Uzbekistan,1.65,5.57,2014
South Korea,4.02,United Arab Emirates,6.7,1.48,2014
Rwanda,3.21,Eritrea,3.56,1.92,2014
Mozambique,3.93,Comoros,6.96,1.4,2014
Namibia,7.02,Djibouti,14.57,1.11,2014
Japan,7.69,Tajikistan,22.25,1.09,2014
Saint Vincent and the Grenadines,3.49,Grenada,1.66,4.69,2014
Belize,7.62,Guatemala,1.1,16.51,2014
Cayman Islands,11.5,El Salvador,1.02,26.25,2014
Nicaragua,7.81,Panama,1.09,17.11,2014
Argentina,4.25,Venezuela,8.18,1.43,2014
Saint Lucia,7,Saint Kitts and Nevis,1.13,13.29,2014
United States Virgin Islands,11.93,Antigua and Barbuda,1.02,26.15,2014
Guyana,3.28,Bermuda,3.05,2.12,2014
Puerto Rico,10.87,Canada,1.04,22.26,2014
Peru,3.87,Chile,1.56,6.31,2014
Uruguay,3.21,Paraguay,3.19,2.3,2014
Dominican Republic,3.61,Suriname,1.62,4.83,2014
Barbados,8.23,Trinidad & Tobago,1.09,17.47,2014
Colombia,3.17,Bolivia,2.43,3.03,2014
Curacao,8.25,Haiti,1.09,17.3,2014
Bahrain,4.4,Iran,1.37,8.62,2014
Dominica,4.33,Nicaragua,1.35,7.52,2014
Venezuela,3.77,Colombia,1.55,6.8,2014
Ecuador,3.69,Paraguay,1.61,6.06,2014
Trinidad & Tobago,3.1,Guyana,2.7,2.45,2014
Canada,4.72,Saint Kitts and Nevis,7.77,1.31,2014
Puerto Rico,3.69,Saint Lucia,4.96,1.58,2014
Haiti,3.27,Antigua and Barbuda,1.95,3.49,2014
El Salvador,3.5,Suriname,5.57,1.57,2014
Chile,3.7,Uruguay,1.64,5.68,2014
Saint Vincent and the Grenadines,3.47,Belize,1.67,4.5,2014
Bolivia,9.7,Argentina,1.09,29.89,2014
Curacao,5.32,United States Virgin Islands,9.84,1.22,2014
Barbados,4.01,Bermuda,1.4,6.87,2014
Cayman Islands,6.24,Dominican Republic,1.15,12.29,2014
Burundi,3.14,Lesotho,2.55,2.5,2014
Thailand,4.47,Saudi Arabia,1.35,8.93,2014
Togo,3.13,Guinea Bissau,2.21,3,2014
Singapore,6.63,Jordan,1.13,15.66,2014
Indonesia,6.64,Qatar,1.14,14.61,2014
Iran,3.39,Bahrain,4.59,1.78,2014
Tanzania,3.1,Chad,2.54,2.55,2014
Madagascar,3.61,Equatorial Guinea,1.53,5.63,2014
Congo,5.69,Sao Tome and Principe,10.69,1.19,2014
Lebanon,5.49,Kuwait,1.21,11.31,2014
China,3.27,Iraq,2.28,3.02,2014
D.R. Congo,3.24,Swaziland,3.91,1.83,2014
Australia,4.19,Oman,7.73,1.41,2014
Kenya,3.16,Seychelles,3.57,1.94,2014
North Korea,3.5,Uzbekistan,1.65,5.57,2014
South Korea,4.02,United Arab Emirates,6.7,1.48,2014
Rwanda,3.21,Eritrea,3.56,1.92,2014
Mozambique,3.93,Comoros,6.96,1.4,2014
Namibia,7.02,Djibouti,14.57,1.11,2014
Japan,7.69,Tajikistan,22.25,1.09,2014
Saint Vincent and the Grenadines,3.49,Grenada,1.66,4.69,2014
Belize,7.62,Guatemala,1.1,16.51,2014
Cayman Islands,11.5,El Salvador,1.02,26.25,2014
Nicaragua,7.81,Panama,1.09,17.11,2014
Argentina,4.25,Venezuela,8.18,1.43,2014
Saint Lucia,7,Saint Kitts and Nevis,1.13,13.29,2014
United States Virgin Islands,11.93,Antigua and Barbuda,1.02,26.15,2014
Guyana,3.28,Bermuda,3.05,2.12,2014
Puerto Rico,10.87,Canada,1.04,22.26,2014
Peru,3.87,Chile,1.56,6.31,2014
Uruguay,3.21,Paraguay,3.19,2.3,2014
Dominican Republic,3.61,Suriname,1.62,4.83,2014
Barbados,8.23,Trinidad & Tobago,1.09,17.47,2014
Colombia,3.17,Bolivia,2.43,3.03,2014
Curacao,8.25,Haiti,1.09,17.3,2014
Bahrain,4.4,Iran,1.37,8.62,2014
France,2.81,Italy,2.54,3.24,2006
Portugal,3.41,Germany,1.88,4.3,2006
France,2.86,Portugal,3.92,2.2,2006
Italy,2.89,Germany,2.46,3.27,2006
France,3.41,Brazil,1.75,4.99,2006
Portugal,2.99,England,2.1,4,2006
Ukraine,3.48,Italy,1.57,6.94,2006
Argentina,3.07,Germany,2.5,2.99,2006
France,3.01,Spain,2.37,3.21,2006
Ghana,5.41,Brazil,1.27,10.34,2006
Ukraine,3.11,Switzerland,2.37,3.17,2006
Australia,3.82,Italy,1.52,6.95,2006
Netherlands,3.07,Portugal,3.12,2.44,2006
Ecuador,3.86,England,1.49,7.37,2006
Mexico,4.27,Argentina,1.36,10.18,2006
Sweden,3.66,Germany,1.61,5.89,2006
South Korea,2.97,Switzerland,1.97,4.43,2006
France,7.66,Togo,16.3,1.13,2006
Spain,7.06,Saudi Arabia,17.03,1.15,2006
Tunisia,3.71,Ukraine,1.59,6.03,2006
Australia,3.3,Croatia,2.2,3.1,2006
Brazil,6,Japan,12,1.2,2006
Italy,3.15,Czech Republic,3.95,1.95,2006
Switzerland,3.4,France,1.65,5.8,2006
Japan,3.15,Australia,2.5,2.8,2006
Iran,3.65,Mexico,1.56,6.87,2006
Netherlands,3.22,Serbia and Montenegro,4.15,1.94,2006
Ivory Coast,3.59,Argentina,1.6,6.43,2006
Sweden,5.15,Trinidad & Tobago,12.34,1.29,2006
Paraguay,3.42,England,1.66,5.85,2006
Ecuador,3.25,Poland,1.9,3.75,2006
Costa Rica,5.17,Germany,1.25,12.23,2006
Norway,3.87,Czech Republic,1.42,7.88,2006
Spain,3.29,Slovakia,3.34,2.11,2006
Switzerland,3.44,Turkey,1.67,5,2006
Trinidad & Tobago,3.15,Bahrain,2.1,3.35,2006
Uruguay,3.24,Australia,2.15,3.14,2006
Bolivia,3.5,Peru,1.6,5,2006
Venezuela,6,Brazil,1.14,9.99,2006
Colombia,3.5,Paraguay,2.4,2.45,2006
Costa Rica,3.61,Guatemala,1.57,4.93,2006
Mexico,3.45,Trinidad & Tobago,2.55,2.31,2006
Panama,5.33,USA,1.18,9.99,2006
Uzbekistan,3.13,Bahrain,2.09,3.33,2006
Poland,3.54,England,1.56,5.85,2006
Cyprus,9.5,France,1.03,9.99,2006
Switzerland,3.21,Ireland,2.1,3.24,2006
Azerbaijan,4.77,Wales,1.26,9.74,2006
Belgium,3.14,Lithuania,2.78,2.32,2006
Bosnia & Herzegovina,3.86,Serbia and Montenegro,1.46,6.14,2006
France,2.81,Italy,2.54,3.24,2006
Portugal,3.41,Germany,1.88,4.3,2006
France,2.86,Portugal,3.92,2.2,2006
Italy,2.89,Germany,2.46,3.27,2006
France,3.41,Brazil,1.75,4.99,2006
Portugal,2.99,England,2.1,4,2006
Ukraine,3.48,Italy,1.57,6.94,2006
Argentina,3.07,Germany,2.5,2.99,2006
France,3.01,Spain,2.37,3.21,2006
Ghana,5.41,Brazil,1.27,10.34,2006
Ukraine,3.11,Switzerland,2.37,3.17,2006
Australia,3.82,Italy,1.52,6.95,2006
Netherlands,3.07,Portugal,3.12,2.44,2006
Ecuador,3.86,England,1.49,7.37,2006
Mexico,4.27,Argentina,1.36,10.18,2006
Sweden,3.66,Germany,1.61,5.89,2006
South Korea,2.97,Switzerland,1.97,4.43,2006
France,7.66,Togo,16.3,1.13,2006
Spain,7.06,Saudi Arabia,17.03,1.15,2006
Tunisia,3.71,Ukraine,1.59,6.03,2006
Australia,3.3,Croatia,2.2,3.1,2006
Brazil,6,Japan,12,1.2,2006
Italy,3.15,Czech Republic,3.95,1.95,2006
Switzerland,3.4,France,1.65,5.8,2006
Japan,3.15,Australia,2.5,2.8,2006
Iran,3.65,Mexico,1.56,6.87,2006
Netherlands,3.22,Serbia and Montenegro,4.15,1.94,2006
Ivory Coast,3.59,Argentina,1.6,6.43,2006
Sweden,5.15,Trinidad & Tobago,12.34,1.29,2006
Paraguay,3.42,England,1.66,5.85,2006
Ecuador,3.25,Poland,1.9,3.75,2006
Costa Rica,5.17,Germany,1.25,12.23,2006
Norway,3.87,Czech Republic,1.42,7.88,2006
Spain,3.29,Slovakia,3.34,2.11,2006
Switzerland,3.44,Turkey,1.67,5,2006
Trinidad & Tobago,3.15,Bahrain,2.1,3.35,2006
Uruguay,3.24,Australia,2.15,3.14,2006
Bolivia,3.5,Peru,1.6,5,2006
Venezuela,6,Brazil,1.14,9.99,2006
Colombia,3.5,Paraguay,2.4,2.45,2006
Costa Rica,3.61,Guatemala,1.57,4.93,2006
Mexico,3.45,Trinidad & Tobago,2.55,2.31,2006
Panama,5.33,USA,1.18,9.99,2006
Uzbekistan,3.13,Bahrain,2.09,3.33,2006
Poland,3.54,England,1.56,5.85,2006
Cyprus,9.5,France,1.03,9.99,2006
Switzerland,3.21,Ireland,2.1,3.24,2006
Azerbaijan,4.77,Wales,1.26,9.74,2006
Belgium,3.14,Lithuania,2.78,2.32,2006
Bosnia & Herzegovina,3.86,Serbia and Montenegro,1.46,6.14,2006
France,2.81,Italy,2.54,3.24,2006
Portugal,3.41,Germany,1.88,4.3,2006
France,2.86,Portugal,3.92,2.2,2006
Italy,2.89,Germany,2.46,3.27,2006
France,3.41,Brazil,1.75,4.99,2006
Portugal,2.99,England,2.1,4,2006
Ukraine,3.48,Italy,1.57,6.94,2006
Argentina,3.07,Germany,2.5,2.99,2006
France,3.01,Spain,2.37,3.21,2006
Ghana,5.41,Brazil,1.27,10.34,2006
Ukraine,3.11,Switzerland,2.37,3.17,2006
Australia,3.82,Italy,1.52,6.95,2006
Netherlands,3.07,Portugal,3.12,2.44,2006
Ecuador,3.86,England,1.49,7.37,2006
Mexico,4.27,Argentina,1.36,10.18,2006
Sweden,3.66,Germany,1.61,5.89,2006
South Korea,2.97,Switzerland,1.97,4.43,2006
France,7.66,Togo,16.3,1.13,2006
Spain,7.06,Saudi Arabia,17.03,1.15,2006
Tunisia,3.71,Ukraine,1.59,6.03,2006
Australia,3.3,Croatia,2.2,3.1,2006
Brazil,6,Japan,12,1.2,2006
Italy,3.15,Czech Republic,3.95,1.95,2006
Switzerland,3.4,France,1.65,5.8,2006
Japan,3.15,Australia,2.5,2.8,2006
Iran,3.65,Mexico,1.56,6.87,2006
Netherlands,3.22,Serbia and Montenegro,4.15,1.94,2006
Ivory Coast,3.59,Argentina,1.6,6.43,2006
Sweden,5.15,Trinidad & Tobago,12.34,1.29,2006
Paraguay,3.42,England,1.66,5.85,2006
Ecuador,3.25,Poland,1.9,3.75,2006
Costa Rica,5.17,Germany,1.25,12.23,2006
Norway,3.87,Czech Republic,1.42,7.88,2006
Spain,3.29,Slovakia,3.34,2.11,2006
Switzerland,3.44,Turkey,1.67,5,2006
Trinidad & Tobago,3.15,Bahrain,2.1,3.35,2006
Uruguay,3.24,Australia,2.15,3.14,2006
Bolivia,3.5,Peru,1.6,5,2006
Venezuela,6,Brazil,1.14,9.99,2006
Colombia,3.5,Paraguay,2.4,2.45,2006
Costa Rica,3.61,Guatemala,1.57,4.93,2006
Mexico,3.45,Trinidad & Tobago,2.55,2.31,2006
Panama,5.33,USA,1.18,9.99,2006
Uzbekistan,3.13,Bahrain,2.09,3.33,2006
Poland,3.54,England,1.56,5.85,2006
Cyprus,9.5,France,1.03,9.99,2006
Switzerland,3.21,Ireland,2.1,3.24,2006
Azerbaijan,4.77,Wales,1.26,9.74,2006
Belgium,3.14,Lithuania,2.78,2.32,2006
Bosnia & Herzegovina,3.86,Serbia and Montenegro,1.46,6.14,2006
France,2.81,Italy,2.54,3.24,2006
Portugal,3.41,Germany,1.88,4.3,2006
France,2.86,Portugal,3.92,2.2,2006
Italy,2.89,Germany,2.46,3.27,2006
France,3.41,Brazil,1.75,4.99,2006
Portugal,2.99,England,2.1,4,2006
Ukraine,3.48,Italy,1.57,6.94,2006
Argentina,3.07,Germany,2.5,2.99,2006
France,3.01,Spain,2.37,3.21,2006
Ghana,5.41,Brazil,1.27,10.34,2006
Ukraine,3.11,Switzerland,2.37,3.17,2006
Australia,3.82,Italy,1.52,6.95,2006
Netherlands,3.07,Portugal,3.12,2.44,2006
Ecuador,3.86,England,1.49,7.37,2006
Mexico,4.27,Argentina,1.36,10.18,2006
Sweden,3.66,Germany,1.61,5.89,2006
South Korea,2.97,Switzerland,1.97,4.43,2006
France,7.66,Togo,16.3,1.13,2006
Spain,7.06,Saudi Arabia,17.03,1.15,2006
Tunisia,3.71,Ukraine,1.59,6.03,2006
Australia,3.3,Croatia,2.2,3.1,2006
Brazil,6,Japan,12,1.2,2006
Italy,3.15,Czech Republic,3.95,1.95,2006
Switzerland,3.4,France,1.65,5.8,2006
Japan,3.15,Australia,2.5,2.8,2006
Iran,3.65,Mexico,1.56,6.87,2006
Netherlands,3.22,Serbia and Montenegro,4.15,1.94,2006
Ivory Coast,3.59,Argentina,1.6,6.43,2006
Sweden,5.15,Trinidad & Tobago,12.34,1.29,2006
Paraguay,3.42,England,1.66,5.85,2006
Ecuador,3.25,Poland,1.9,3.75,2006
Costa Rica,5.17,Germany,1.25,12.23,2006
Norway,3.87,Czech Republic,1.42,7.88,2006
Spain,3.29,Slovakia,3.34,2.11,2006
Switzerland,3.44,Turkey,1.67,5,2006
Trinidad & Tobago,3.15,Bahrain,2.1,3.35,2006
Uruguay,3.24,Australia,2.15,3.14,2006
Bolivia,3.5,Peru,1.6,5,2006
Venezuela,6,Brazil,1.14,9.99,2006
Colombia,3.5,Paraguay,2.4,2.45,2006
Costa Rica,3.61,Guatemala,1.57,4.93,2006
Mexico,3.45,Trinidad & Tobago,2.55,2.31,2006
